16666666
1904325010781	1904394468156	1904325010781
1904368340948	1904417822323	1904368340948
1904429919198	1904468907865	1904429919198
1904442781448	1904493077615	1904442781448
1904507720740	1904548801198	1904507720740
1904521020157	1904574109907	1904521020157
1904591962573	1904632364073	1904591962573
1904607126532	1904657438115	1904607126532
1904670919865	1904720659532	1904670919865
1904710294698	1904760715115	1904710294698
1904779330157	1904822275990	1904779330157
1904796976657	1904863538032	1904796976657
1904886933948	1904940194823	1904886933948
1904981387823	1905062779823	1904981387823
1905020894865	1905111324990	1905020894865
1905136178740	1905181499782	1905136178740
1905157241657	1905208309782	1905157241657
1905235405782	1905280399490	1905235405782
1905255038365	1905309470365	1905255038365
1905326106865	1905375631907	1905326106865
1905344730532	1905404884449	1905344730532
1905424440074	1905473564907	1905424440074
1905448365990	1905502100865	1905448365990
1905526604907	1905573023157	1905526604907
1905547349740	1905601499532	1905547349740
1905621194282	1905649190115	1905621194282
1905664920657	1905710487990	1905664920657
1905684656240	1905737862532	1905684656240
1905753524115	1905801255116	1905753524115
1905773945032	1905830155241	1905773945032
1905848267116	1905890509699	1905848267116
1905908527324	1905949304157	1905908527324
1905978661574	1906015639991	1905978661574
1906042897782	1906118936199	1906042897782
1906137332199	1906185328324	1906137332199
1906184250782	1906218776824	1906184250782
1906237745407	1906289557907	1906237745407
1906289308241	1906337642282	1906289308241
1906311278074	1906365108116	1906311278074
1906387988199	1906427100074	1906387988199
1906452101491	1906490251741	1906452101491
1906604443908	1906640905824	1906604443908
1906717890866	1906768486741	1906717890866
1906777412616	1906834360074	1906777412616
1906808736616	1906861936949	1906808736616
1906897334616	1906969190741	1906897334616
1906967925991	1907005742783	1906967925991
1907029926574	1907088239616	1907029926574
1907057427116	1907121825699	1907057427116
1907144756658	1907199283241	1907144756658
1907172731491	1907229633366	1907172731491
1907245654908	1907287873658	1907245654908
1907302286866	1907333075866	1907302286866
1907396756450	1907442879158	1907396756450
1907418043241	1907468645325	1907418043241
1907488645283	1907516952825	1907488645283
1907533507158	1907578760033	1907533507158
1907553500741	1907609715950	1907553500741
1907630626783	1907679410116	1907630626783
1907650454033	1907707112158	1907650454033
1907727626533	1907773696991	1907727626533
1907748402450	1907803329908	1907748402450
1907828641283	1907878539033	1907828641283
1907852459616	1907909367158	1907852459616
1907933049117	1907986200908	1907933049117
1907957911658	1908016636950	1907957911658
1908033875533	1908082298492	1908033875533
1908053311242	1908113837450	1908053311242
1908132526450	1908177972617	1908132526450
1908153814700	1908204467908	1908153814700
1908220928783	1908251760283	1908220928783
1908269174242	1908300828533	1908269174242
1908341645033	1908396601075	1908341645033
1908367183825	1908437977283	1908367183825
1908456602283	1908493821867	1908456602283
1908518839408	1908553257783	1908518839408
1908569676450	1908601422034	1908569676450
1908617050492	1908647536825	1908617050492
1908668835075	1908700382784	1908668835075
1908720264742	1908750152617	1908720264742
1908773800867	1908826509409	1908773800867
1908800523742	1908851087367	1908800523742
1908886623325	1908918250075	1908886623325
1908937684992	1908967625825	1908937684992
1909002444284	1909034466034	1909002444284
1909072482784	1909099778450	1909072482784
1909117599450	1909149535534	1909117599450
1909180735659	1909214895325	1909180735659
1909234043034	1909281773409	1909234043034
1909286459075	1909314950951	1909286459075
1909330284284	1909375940867	1909330284284
1909352875867	1909402730326	1909352875867
1909420547951	1909472871701	1909420547951
1909472387034	1909500977951	1909472387034
1909515202117	1909557519326	1909515202117
1909531786742	1909597304617	1909531786742
1909595405867	1909632468951	1909595405867
1909653578659	1909687317242	1909653578659
1909725950534	1909784327701	1909725950534
1909755015617	1909810766576	1909755015617
1909828318076	1909865405951	1909828318076
1909892916617	1909940489034	1909892916617
1909913327451	1909966389201	1909913327451
1909991831326	1910045041159	1909991831326
1910026867451	1910072805409	1910026867451
1910090899118	1910135756993	1910090899118
1910108846659	1910162509618	1910108846659
1910186656868	1910245968201	1910186656868
1910366406451	1910401935909	1910366406451
1910435473243	1910466294743	1910435473243
1910494860951	1910547437868	1910494860951
1910518757284	1910573660909	1910518757284
1910605225409	1910632698451	1910605225409
1910655958701	1910685088576	1910655958701
1910708149993	1910753629993	1910708149993
1910736996076	1910779014368	1910736996076
1910797155326	1910844280743	1910797155326
1910820469285	1910871691535	1910820469285
1910891989076	1910940755118	1910891989076
1910913212951	1910967649035	1910913212951
1910985802035	1911033616576	1910985802035
1911027381201	1911089259243	1911027381201
1911059080868	1911124653493	1911059080868
1911144980660	1911204462618	1911144980660
1911167357076	1911240725576	1911167357076
1911263303118	1911320636910	1911263303118
1911292822785	1911346621118	1911292822785

